Site type,Year,Mean NO2 concentration ,CI
Rural Background,1997,17.68694828,15.8364768
Rural Background,1998,14.4834846,6.125076392
Rural Background,1999,15.95375627,14.93605685
Rural Background,2000,13.97120408,4.934370488
Rural Background,2001,15.47470861,5.145206833
Rural Background,2002,12.93462703,4.987932702
Rural Background,2003,14.94028072,4.744292817
Rural Background,2004,11.21378724,3.030747839
Rural Background,2005,10.35510578,2.719221586
Rural Background,2006,10.44930853,2.875297269
Rural Background,2007,10.4520945,2.476688079
Rural Background,2008,8.953736454,2.154343993
Rural Background,2009,8.994046701,2.149733047
Rural Background,2010,9.371706814,2.714495252
Rural Background,2011,9.226400456,2.727276706
Rural Background,2012,9.731611539,3.114814091
Rural Background,2013,8.675177715,2.89348929
Rural Background,2014,7.979916796,2.549859788
Rural Background,2015,7.038872606,2.388114728
Rural Background,2016,8.671214984,2.463093039
Rural Background,2017,7.583856868,2.442096098
Rural Background,2018,7.157888036,2.045086196
Rural Background,2019,7.184724211,2.247338349
Rural Background,2020,5.526065486,1.909699961
Rural Background,2021,5.758472264,1.819504346
Rural Background,2022,6.041750517,1.726253665
Rural Background,2023,5.1746023,1.882617452
Urban Background,1990,53.79893865,13.87085802
Urban Background,1991,58.69095428,13.33657926
Urban Background,1992,59.75299844,8.059958077
Urban Background,1993,52.20461276,4.375017466
Urban Background,1994,49.03697708,3.611386537
Urban Background,1995,48.02974649,3.618984473
Urban Background,1996,47.37690938,3.20269634
Urban Background,1997,46.04241651,3.010243786
Urban Background,1998,40.67055016,2.929733038
Urban Background,1999,39.70149469,3.065935077
Urban Background,2000,35.87412261,2.658958283
Urban Background,2001,35.67034383,2.319525631
Urban Background,2002,32.70588269,2.349380894
Urban Background,2003,35.09244421,2.72964339
Urban Background,2004,32.24445677,2.774715913
Urban Background,2005,32.22305387,3.179781277
Urban Background,2006,31.66649107,3.162791759
Urban Background,2007,28.23306267,2.938051991
Urban Background,2008,28.04246969,2.696060514
Urban Background,2009,28.8757873,2.930472308
Urban Background,2010,31.09338229,3.406624974
Urban Background,2011,26.72221089,3.120358809
Urban Background,2012,26.57914912,3.142850063
Urban Background,2013,25.27971525,2.961958217
Urban Background,2014,24.79922863,3.330192021
Urban Background,2015,22.89273206,2.741444321
Urban Background,2016,23.3226594,2.602602094
Urban Background,2017,21.74204695,2.535994766
Urban Background,2018,20.00237934,2.085446664
Urban Background,2019,19.56350789,2.062295602
Urban Background,2020,15.06691545,1.467950834
Urban Background,2021,15.86556864,1.558668479
Urban Background,2022,15.64730999,1.404311156
Urban Background,2023,14.22474915,1.223586641
Urban Traffic,1997,59.71508819,9.117784774
Urban Traffic,1998,59.01919785,9.188619851
Urban Traffic,1999,61.81444003,8.149121992
Urban Traffic,2000,57.25702421,8.084417915
Urban Traffic,2001,54.31035184,6.868613377
Urban Traffic,2002,49.40470162,7.618837914
Urban Traffic,2003,54.82327561,9.971699526
Urban Traffic,2004,52.18202624,9.043168634
Urban Traffic,2005,53.62006549,9.240958655
Urban Traffic,2006,54.20622553,10.00603831
Urban Traffic,2007,52.73554114,10.64478339
Urban Traffic,2008,49.87652951,9.214010935
Urban Traffic,2009,45.7991512,8.027927251
Urban Traffic,2010,46.22733733,7.305950172
Urban Traffic,2011,41.16570888,7.054604836
Urban Traffic,2012,41.44028526,6.794303052
Urban Traffic,2013,38.88387952,6.265297433
Urban Traffic,2014,38.36004103,7.073432481
Urban Traffic,2015,36.54008902,5.154579912
Urban Traffic,2016,37.64795643,4.227101277
Urban Traffic,2017,33.67734589,3.340826551
Urban Traffic,2018,32.79977395,3.200437361
Urban Traffic,2019,31.07882033,2.619739585
Urban Traffic,2020,22.92554354,1.866579691
Urban Traffic,2021,24.75897555,2.030023994
Urban Traffic,2022,23.56171005,1.834012679
Urban Traffic,2023,21.84333578,1.827225821
