Site type,Year,Number of sites,Mean PM2.5 concentration ,95% confidence interval for 'All sites'
Urban Background,2009,36,12.39330819,0.626062171
Urban Background,2010,34,12.97303305,0.812720694
Urban Background,2011,34,13.70484034,0.893151642
Urban Background,2012,33,12.56147285,0.768436235
Urban Background,2013,35,12.08719676,0.675479967
Urban Background,2014,33,12.07975466,0.716146312
Urban Background,2015,39,9.771605679,0.528071547
Urban Background,2016,39,9.789564396,0.548507071
Urban Background,2017,39,9.414699196,0.535408584
Urban Background,2018,38,9.925692183,0.466330617
Urban Background,2019,41,9.880706492,0.43235285
Urban Background,2020,42,7.883404295,0.418183508
Urban Background,2021,39,7.923250598,0.384731927
Urban Background,2022,46,8.254496165,0.363337492
Urban Background,2023,56,7.236008408,0.268876546
Urban Traffic,2009,5,12.77176475,6.889557094
Urban Traffic,2010,13,14.36795499,2.770635671
Urban Traffic,2011,15,15.96296847,2.547927476
Urban Traffic,2012,17,14.13528994,1.957167748
Urban Traffic,2013,19,13.34519169,1.581824295
Urban Traffic,2014,19,12.58797274,1.330394335
Urban Traffic,2015,21,10.94144661,1.06143694
Urban Traffic,2016,19,10.94645084,1.301504013
Urban Traffic,2017,19,9.929084339,1.599379351
Urban Traffic,2018,20,10.60553628,1.195116934
Urban Traffic,2019,23,10.0750357,1.099306212
Urban Traffic,2020,22,8.059144493,0.782367798
Urban Traffic,2021,21,8.323883238,0.948265065
Urban Traffic,2022,22,8.741194584,0.841259399
Urban Traffic,2023,23,7.722145566,0.737629927
